Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Idukki,Adimali,Beetroot,Beetroot,FAQ,2500,3500,3500,26-Aug-23
2,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,3500,3000,17-Oct-23
3,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,4000,3000,03-Oct-23
4,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,4000,3000,05-Oct-23
5,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,4000,3000,21-Sep-23
6,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,4000,3000,22-Sep-23
7,Idukki,Adimali,Beetroot,Beetroot,FAQ,3000,4000,3000,30-Sep-23
8,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,3500,3500,09-Oct-23
9,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,3500,3500,10-Oct-23
10,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,4000,3500,02-Dec-23
11,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,4000,3500,14-Nov-23
12,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,4000,3500,20-Sep-23
13,Idukki,Adimali,Beetroot,Beetroot,FAQ,3500,4000,4000,24-Aug-23
14,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,01-Apr-24
15,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,01-Dec-23
16,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,01-Feb-24
17,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,01-Jan-24
18,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,01-May-24
19,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,02-Aug-23
20,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,04-Mar-24
21,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,04-May-24
22,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,04-Oct-23
23,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,06-Jan-24
24,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,06-Mar-24
25,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,06-May-24
26,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,06-Nov-23
27,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,07-Feb-24
28,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,07-Mar-24
29,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,08-Aug-23
30,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,08-Feb-24
31,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,08-Mar-24
32,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,08-Nov-23
33,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,10-Jun-24
34,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,10-May-24
35,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,10-Nov-23
36,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,11-Nov-23
37,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Apr-24
38,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Dec-23
39,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Feb-24
40,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Jan-24
41,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Jun-24
42,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,12-Mar-24
43,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,13-Dec-23
44,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,13-Mar-24
45,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,13-May-24
46,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,13-Nov-23
47,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,14-Dec-23
48,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,14-May-24
49,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,15-Apr-24
50,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,15-Feb-24
51,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,15-Jan-24
52,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,16-Apr-24
53,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,16-Dec-23
54,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,16-Feb-24
55,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,16-Nov-23
56,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,16-Oct-23
57,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,17-Feb-24
58,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,17-May-24
59,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,18-Jan-24
60,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,18-Mar-24
61,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,18-Oct-23
62,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,19-Jan-24
63,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,19-Oct-23
64,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,20-Dec-23
65,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,20-Feb-24
66,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,20-Jul-23
67,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,21-Jul-23
68,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,21-Mar-24
69,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,22-Aug-23
70,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,22-Jan-24
71,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,23-May-24
72,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,25-Apr-24
73,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,25-Oct-23
74,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,25-Sep-23
75,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,26-Apr-24
76,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,26-Dec-23
77,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,26-Oct-23
78,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,26-Sep-23
79,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-Apr-24
80,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-Feb-24
81,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-Jan-24
82,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-May-24
83,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-Oct-23
84,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,27-Sep-23
85,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,28-Mar-24
86,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,29-Apr-24
87,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,29-Feb-24
88,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,30-Apr-24
89,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,30-May-24
90,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,30-Nov-23
91,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,30-Oct-23
92,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4000,4000,31-May-24
93,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4500,4000,11-Aug-23
94,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,4500,4000,13-Feb-24
95,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,01-Aug-23
96,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,03-Aug-23
97,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,04-Jan-24
98,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,04-Sep-23
99,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,05-Sep-23
100,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,06-Dec-23
101,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,06-Oct-23
102,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,06-Sep-23
103,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,07-Aug-23
104,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,07-Sep-23
105,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,08-Dec-23
106,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,08-Jan-24
107,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,08-Sep-23
108,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,10-Jan-24
109,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,10-Jul-23
110,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,11-Dec-23
111,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,12-Aug-23
112,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,12-Sep-23
113,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,13-Oct-23
114,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,14-Feb-24
115,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,14-Sep-23
116,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,15-Sep-23
117,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,16-Jan-24
118,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,16-Mar-24
119,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,17-Jul-23
120,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,18-Sep-23
121,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,19-Aug-23
122,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,19-Dec-23
123,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,20-Oct-23
124,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,21-Aug-23
125,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,21-Feb-24
126,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,21-Jan-24
127,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,22-Apr-24
128,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,23-Aug-23
129,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,23-Dec-23
130,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,23-Nov-23
131,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,23-Oct-23
132,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,25-Jul-23
133,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,27-Aug-23
134,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,27-Jul-23
135,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,27-Nov-23
136,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,28-Feb-24
137,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,28-Nov-23
138,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,28-Oct-23
139,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,28-Sep-23
140,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,29-Dec-23
141,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,29-Jan-24
142,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,29-Nov-23
143,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,30-Dec-23
144,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,30-Jan-24
145,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,4000,31-Jan-24
146,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,02-Oct-23
147,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,04-Aug-23
148,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,08-May-24
149,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,09-Aug-23
150,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,10-Aug-23
151,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,14-Aug-23
152,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,17-Apr-24
153,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,17-Aug-23
154,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,17-Nov-23
155,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,18-Jul-23
156,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,19-Mar-24
157,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,21-Apr-24
158,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,24-Jul-23
159,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,24-Nov-23
160,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,25-Jan-24
161,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,26-Jul-23
162,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,5000,5000,28-May-24
163,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,6000,4000,11-Jul-23
164,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,6000,4000,12-Jul-23
165,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,6000,4000,13-Jul-23
166,Idukki,Adimali,Beetroot,Beetroot,FAQ,4000,6000,4000,14-Jul-23
167,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,01-Nov-23
168,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,02-Feb-24
169,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,02-Nov-23
170,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,03-Apr-24
171,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,03-Jun-24
172,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,03-Nov-23
173,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,04-Apr-24
174,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,05-Feb-24
175,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,05-Jun-24
176,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,06-Jul-24
177,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,07-Nov-23
178,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,08-Jul-23
179,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,11-Apr-24
180,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,13-Jun-24
181,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,17-Jan-24
182,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,17-Jun-24
183,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,18-Dec-23
184,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,18-May-24
185,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,19-Apr-24
186,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,19-Jul-23
187,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,22-May-24
188,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,23-Apr-24
189,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,23-Jan-24
190,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,24-Apr-24
191,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,24-May-24
192,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,25-Feb-24
193,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,25-May-24
194,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,26-Feb-24
195,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,26-Jun-24
196,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,27-Dec-23
197,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,27-Jun-24
198,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,27-Mar-24
199,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,28-Jun-24
200,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,5000,5000,30-Mar-24
201,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,5000,05-Dec-23
202,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,5000,06-Feb-24
203,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,5000,11-Sep-23
204,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,5000,22-Dec-23
205,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,5000,29-Sep-23
206,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,6000,05-Apr-24
207,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,6000,08-Apr-24
208,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,6000,15-May-24
209,Idukki,Adimali,Beetroot,Beetroot,FAQ,5000,6000,6000,31-Jul-23
210,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,01-Jul-24
211,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,02-Jul-24
212,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,03-Jul-24
213,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,04-Dec-23
214,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,04-Jul-24
215,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,07-Jun-24
216,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,18-Jun-24
217,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,19-Feb-24
218,Idukki,Adimali,Beetroot,Beetroot,FAQ,6000,6000,6000,19-Jun-24
